kic_kepler_id,glx_objid
8478371,2567018939755270071
8478373,2567018939755269849
8478421,2567018939755269860
8478436,2567018939755269582
8478468,2567018939755269896
8478472,2567018939755269892
8478478,2567018939755270041
8478506,2567018939755269755
8478550,2567018939755269641
8478566,2567018939755269610
8478603,2567018939755269788
8478641,2567018939755269642
8478684,2567018939755270124
8478701,2567018939755270160
8478715,2567018939755269958
8478717,2567018939755270000
8478761,2567018939755269678
8478771,2567018939755269992
8478773,2567018939755269980
8478783,2567018939755269825
8478870,2567018939755270170
8478906,2567018939755270044
8478920,2567018939755269527
8478942,2567018939755270110
8478994,2567018939755269989
8479022,2567018939755270163
8479072,2567018939755270393
8479087,2567018939755270121
8479107,2567018939755269883
8479127,2567018939755270292
8479165,2567018939755269483
8479182,2567018939755269503
8479197,2567018939755269507
8479204,2567018939755269538
8479301,2567018939755269906
8479321,2567018939755270161
8479329,2567018939755269882
8479344,2567018939755269988
8479377,2567018939755270109
8479383,2567018939755270064
8479386,2567018939755270230
8479419,2567018939755269967
8479424,2567018939755269934
8479437,2567018939755269924
8479476,2567018939755269978
8479477,2567018939755269991
8479567,2567018939755269459
8479581,2567018939755269726
8479631,2567018939755269613
8479646,2567018939755269576
8479655,2567018939755270252
8479661,2567018939755269840
8479671,2567018939755269594
8479675,2567018939755269510
8479679,2567018939755269795
8479719,2567018939755269621
8479721,2567018939755269769
8479728,2567018939755269710
8479763,2567018939755269888
8479780,2567018939755269870
8479813,2567018939755269970
8479852,2567018939755269925
8480031,2567018939755270238
8542490,2567018939755270912
8542642,2567018939755270481
8542671,2567018939755270371
8542705,2567018939755270840
8542749,2567018939755270820
8542794,2567018939755270759
8542836,2567018939755270613
8542845,2567018939755270671
8542853,2567018939755270439
8542879,2567018939755270854
8542885,2567018939755270655
8542936,2567018939755270778
8542961,2567018939755270454
8542964,2567018939755270469
8542993,2567018939755270494
8543016,2567018939755270844
8543023,2567018939755270848
8543071,2567018939755270739
8543076,2567018939755270505
8543100,2567018939755270270
8543126,2567018939755270279
8543142,2567018939755270749
8543165,2567018939755270606
8543179,2567018939755270909
8543200,2567018939755270793
8543203,2567018939755270448
8543267,2567018939755270832
8543271,2567018939755270745
8543272,2567018939755270254
8543278,2567018939755270737
8543279,2567018939755270737
8543300,2567018939755270712
8543324,2567018939755270810
8543407,2567018939755270431
8543434,2567018939755270838
8543435,2567018939755270598
8543492,2567018939755270395
8543510,2567018939755270446
8543518,2567018939755270289
8543546,2567018939755270319
8543569,2567018939755270470
8543596,2567018939755270397
8543617,2567018939755270517
8543701,2567018939755270380
8543727,2567018939755270378
8543739,2567018939755270609
8543777,2567018939755270717
8543784,2567018939755270662
8543791,2567018939755270249
8543816,2567018939755270786
8543860,2567018939755270675
8543897,2567018939755270646
8543911,2567018939755270664
8543941,2567018939755270402
8543960,2567018939755270735
8543986,2567018939755270459
8544028,2567018939755270486
8544039,2567018939755270520
8544043,2567018939755270306
8544049,2567018939755270574
8544094,2567018939755270846
8544121,2567018939755270589
8544142,2567018939755270751
8544169,2567018939755270742
8544201,2567018939755270399
8544408,2567018939755270684
8544483,2567018939755270914
8544516,2567018939755270330
8544518,2567018939755270324
8544550,2567018939755270478
8544569,2567018939755270530
8603697,2493483602089607894
8603722,2493483602089607549
8603745,2493483602089607531
8603820,2493483602089607948
8607216,2567018939755271521
8607282,2567018939755271201
8607289,2567018939755271094
8607297,2567018939755271341
8607302,2567018939755271553
8607336,2567018939755271182
8607365,2567018939755271532
8607372,2567018939755271282
8607381,2567018939755271499
8607386,2567018939755271320
8607390,2567018939755271050
