LC Filename,Quiescent Flux, Start Time, End Time, Peak Flux, Median Flux, Peak Flux Sigma Above Median
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3153823897452817837_LC.csv,3.87725892302e-16,996335914.2,996336115.444,6.16197750358e-15,3.88759644251e-16,12.9483527293
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3153823897452817994_LC.csv,4.5828339019e-16,996330583.106,996330875.052,4.38486813854e-14,4.73085505112e-16,36.4400395824
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3153823897452817994_LC.csv,4.5828339019e-16,996336436.832,996336464.95,3.8468080291e-15,4.73085505112e-16,9.5671443676
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3153823897452817994_LC.csv,4.5828339019e-16,996336555.762,996336657.055,2.42355983355e-15,4.73085505112e-16,6.96974877399
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3153823897452818142_LC.csv,2.75236392994e-15,996330865.009,996330924.319,1.2744384397e-14,2.76910443087e-15,15.7129871121
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3153823897452818142_LC.csv,2.75236392994e-15,996336785.463,996336843.337,1.73618607957e-14,2.76910443087e-15,19.5135122105
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3153823897452818196_LC.csv,3.78437210633e-16,996330785.711,996330923.795,4.34236033625e-15,3.74648597094e-16,10.6164944627
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3153823897452818196_LC.csv,3.78437210633e-16,996330406.101,996330552.98,2.55869275842e-15,3.74648597094e-16,6.38759377606
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3153823897452818196_LC.csv,3.78437210633e-16,996336392.993,996336543.171,4.54596710728e-14,3.74648597094e-16,37.1347075734
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3153823897452818267_LC.csv,6.49694183658e-16,996330794.775,996330905.46,1.3917055959e-14,6.13691660495e-16,20.0739762125
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3153823897454903656_LC.csv,1.2179603116e-15,995454478.518,995454650.023,3.20055822737e-15,1.22473699757e-15,6.0170513457
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3153823897454906674_LC.csv,1.45764441714e-15,995454142.613,995454212.725,1.76411881324e-15,8.08999040277e-16,4.15868485032
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3153823897454908558_LC.csv,8.64676680644e-16,996277320.967,996277569.457,1.76981737738e-15,8.97555361552e-16,3.65510494179
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3153823897454911214_LC.csv,6.27750680158e-16,996282390.49,996282544.955,1.8567286062e-15,6.17480099925e-16,5.29761325796
