Kepler ID,RA (J2000),Dec (J2000),RA PM,Dec PM,Star/Gal ID,Teff,Log G,Metallicity,E(B-V),A_V,Radius,Parallax
3954848,291.6664800,39.0254900,-0.002,-7.000e-4,0,4567,2.757,-0.067,0.190,0.589,8.300,
3954857,291.6702800,39.0918800,0.017,0.014,0,4581,2.979,-0.148,0.123,0.382,6.446,
3954896,291.6783110,39.0978100,0.000,0.000,0,4553,4.653,-0.982,0.087,0.269,0.666,
3954932,291.6866900,39.0671100,-0.004,0.002,0,4723,3.253,-0.030,0.166,0.515,4.657,
3954933,291.6869400,39.0553000,-0.007,-0.007,0,5136,4.733,-0.421,0.122,0.378,0.676,
3954954,291.6925500,39.0173500,0.006,0.009,0,5689,4.481,-0.356,0.161,0.500,0.980,
3954961,291.6938900,39.0380400,0.008,0.018,0,4226,4.621,0.081,0.047,0.147,0.629,
3955026,291.7103570,39.0953150,0.001,7.000e-4,0,,,,,,,
3955067,291.7188300,39.0482400,0.007,0.017,0,4622,3.225,-0.439,0.178,0.551,4.812,
3955106,291.7291500,39.0093400,-0.003,-0.017,0,5417,4.696,-0.408,0.123,0.381,0.731,
3955129,291.7349500,39.0649500,0.007,0.006,0,4746,4.002,-0.116,0.136,0.421,1.739,
3955133,291.7362000,39.0210500,0.005,0.001,0,6193,4.469,-0.058,0.186,0.578,1.016,
3955156,291.7433700,39.0368800,0.006,-0.011,0,5994,4.443,-0.328,0.184,0.571,1.041,
3955164,291.7457700,39.0596400,0.027,-0.009,0,5507,4.419,-0.200,0.158,0.489,1.044,
3955247,291.7699000,39.0836200,0.000,0.000,0,6204,4.426,-0.021,0.152,0.470,1.072,
3955330,291.7928700,39.0471400,2.000e-4,0.004,0,5696,4.279,0.133,0.126,0.391,1.257,
3955380,291.8067600,39.0120400,0.000,0.000,0,6186,4.709,0.255,0.110,0.341,0.757,
3955396,291.8108600,39.0114700,0.014,0.052,0,5110,4.235,0.161,0.057,0.176,1.283,
3955397,291.8108600,39.0098100,0.000,0.000,0,5516,4.445,-0.153,0.101,0.314,1.011,
3955439,291.8233400,39.0004300,-0.011,0.019,0,5046,4.161,-0.101,0.104,0.324,1.417,
3955441,291.8238600,39.0906700,-0.009,-0.008,0,5873,4.348,0.130,0.156,0.484,1.163,
3955444,291.8244600,39.0061800,0.012,0.005,0,4822,3.244,0.274,0.164,0.510,4.716,
3955505,291.8395500,39.0557300,-0.013,0.005,0,5563,4.556,0.167,0.156,0.484,0.885,
3955560,291.8534050,39.0231970,-0.004,-0.005,0,,,,,,,
3955563,291.8544200,39.0942400,-0.006,-0.008,0,5269,4.401,0.485,0.091,0.283,1.047,
3955590,291.8615700,39.0126700,0.004,0.012,0,4537,1.761,0.518,0.180,0.559,26.520,
3955665,291.8824800,39.0888500,-0.027,-0.003,0,5780,4.783,0.247,0.157,0.486,0.675,
3955666,291.8827200,39.0118000,0.000,0.000,0,6001,4.539,-0.140,0.113,0.349,0.925,
3955703,291.8918100,39.0466300,-0.005,0.001,0,5150,4.485,-0.024,0.124,0.385,0.931,
3955712,291.8936700,39.0331800,0.008,0.000,0,5618,4.574,0.243,0.126,0.389,0.870,
3955772,291.9093900,39.0413200,0.005,0.009,0,5726,4.806,-0.286,0.145,0.449,0.654,
3955797,291.9147800,39.0635800,-0.007,-4.000e-4,0,5273,4.427,-0.091,0.105,0.325,1.013,
3955834,291.9228410,39.0439300,-0.003,-7.000e-4,0,5615,4.958,-0.006,0.121,0.375,0.536,
3955866,291.9296400,39.0671100,-0.005,-0.003,0,5369,4.801,0.553,0.093,0.289,0.636,
3955867,291.9300900,39.0720800,0.004,-0.002,0,4706,3.266,-0.106,0.171,0.531,4.581,
3955868,291.9302900,39.0151500,-0.003,-0.002,0,9292,4.064,0.026,0.203,0.630,2.111,
3955880,291.9322500,39.0639100,0.000,0.000,0,5330,4.679,-0.051,0.128,0.398,0.740,
3955909,291.9412400,39.0741500,0.015,0.024,0,5122,4.579,-0.065,0.124,0.385,0.823,
3955939,291.9481310,39.0614300,0.000,0.000,0,6218,4.482,-0.084,0.138,0.428,1.002,
3955955,291.9520100,39.0238700,0.000,0.000,0,4517,4.528,-0.408,0.038,0.118,0.787,
3955962,291.9531090,39.0049200,2.000e-4,0.004,0,5441,4.633,-0.064,0.119,0.369,0.794,
3956043,291.9715500,39.0147200,-0.014,0.022,0,5410,4.591,-0.262,0.147,0.454,0.835,
4054587,290.8310900,39.1161000,0.006,0.004,0,5079,4.842,-0.337,0.073,0.226,0.583,
4054665,290.8504310,39.1193800,-0.008,-2.000e-4,0,5608,4.484,-0.111,0.163,0.506,0.972,
4054710,290.8625700,39.1086700,-0.007,-0.002,0,5693,4.526,-0.216,0.118,0.366,0.927,
4054771,290.8812000,39.1753000,0.000,0.000,0,4636,3.120,0.021,0.163,0.505,5.454,
4054784,290.8848600,39.1159200,-0.014,-0.014,0,5348,4.594,-0.084,0.088,0.274,0.827,
4054812,290.8938900,39.1785900,6.000e-4,0.005,0,6041,4.263,0.112,0.140,0.434,1.302,
4054860,290.9057300,39.1109400,0.001,0.008,0,5464,4.694,0.027,0.094,0.290,0.737,
4054905,290.9189300,39.1698900,0.000,0.000,0,4702,3.041,-0.576,0.167,0.519,6.002,
4054908,290.9193660,39.1929950,0.002,0.006,0,,,,,,,
4054968,290.9375300,39.1404600,-0.009,-0.003,0,7019,4.308,0.431,0.157,0.486,1.286,
4054979,290.9423400,39.1308100,3.000e-4,-0.007,0,4988,3.339,-0.496,0.192,0.594,4.200,
4055004,290.9538090,39.1832200,0.000,0.000,0,7987,3.843,0.093,0.232,0.720,2.504,
4055023,290.9599700,39.1227100,-0.009,0.004,0,5835,4.379,0.096,0.109,0.338,1.117,
4055057,290.9720130,39.1429890,-0.004,-0.004,0,,,,,,,
4055059,290.9724300,39.1131000,3.000e-4,-0.026,0,5124,4.353,-0.321,0.138,0.427,1.101,
4055067,290.9739710,39.1998600,0.000,0.000,0,4779,4.452,0.441,0.082,0.254,0.921,
4055092,290.9801400,39.1864900,-0.011,0.006,0,4707,4.493,-1.413,0.100,0.309,0.858,
4055124,290.9920100,39.1023100,-0.004,0.001,0,5925,4.462,0.281,0.132,0.409,1.013,
4055141,290.9984100,39.1228900,0.006,-0.006,0,5509,4.504,0.041,0.060,0.185,0.940,
4055156,291.0024140,39.1611400,-0.002,0.002,0,,,,,,,
4055178,291.0094500,39.1012900,-0.001,0.007,0,5876,4.633,0.353,0.170,0.527,0.819,
4055183,291.0105110,39.1329100,0.012,0.016,0,5383,4.398,0.208,0.149,0.463,1.061,
4055294,291.0452700,39.1265900,-0.011,-0.010,0,4813,2.956,0.027,0.072,0.223,6.659,
4055304,291.0499200,39.1416700,0.003,0.008,0,5022,4.503,0.217,0.079,0.245,0.898,
4055312,291.0517500,39.1156300,0.000,0.000,0,4515,4.469,-0.673,0.101,0.312,0.856,
4055326,291.0545400,39.1456600,-0.004,0.020,0,5720,4.407,-0.108,0.146,0.451,1.074,
4055330,291.0556700,39.1880500,0.010,0.013,0,6677,3.880,-0.353,0.104,0.322,2.189,
