Filename, Kepler ID, Start Time, End Time, Estimated Bolometric Energy (erg)
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3875807212715647571_LC.csv,1570172,962406762.015,962406814.018,1.48954282814e+36
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3875807212715647571_LC.csv,1570172,962407133.18,962407163.457,1.0321517567e+36
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3875807212715647571_LC.csv,1570172,962406831.395,962406923.755,1.6575412015e+36
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3875807212715647571_LC.csv,1570172,962406703.668,962406752.978,1.1000230071e+36
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3875807212715647571_LC.csv,1570172,962406962.567,962406994.553,6.79564136326e+35
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3875807212715647571_LC.csv,1570172,962407053.563,962407102.467,5.95774047197e+35
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3875807212715647662_LC.csv,1570270,962407094.014,962407138.487,1.28766087103e+34
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/6371197269119598825_LC.csv,11069573,992284895.397,992285025.018,6.95758503384e+35
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/6371197269119599379_LC.csv,11124095,992130562.269,992130662.008,2.77950203794e+36
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/6371197269119599379_LC.csv,11124095,992130499.452,992130662.008,4.40463777932e+36
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/6371197269119599621_LC.csv,11177741,992166635.939,992166717.407,1.02868176219e+33
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/6371197269119599621_LC.csv,11177741,995791945.67,995792067.895,4.82256427702e+33
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/6371197269119600438_LC.csv,11230957,992131363.697,992131475.334,4.00710752673e+34
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/6371197269119600438_LC.csv,11230957,992154986.538,992155096.17,2.62451821756e+34
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/6371197269119600438_LC.csv,11230957,995674146.243,995674194.222,1.55409677113e+34
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/6371197269119600458_LC.csv,11284496,992130700.968,992130713.621,1.04571658164e+34
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/6371197269119600458_LC.csv,11284496,992154411.624,992154473.738,2.29430363507e+34
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/6371197269119601039_LC.csv,11283638,995673404.649,995673514.69,1.23585857561e+34
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/6371197269119601183_LC.csv,11336853,992154695.927,992154734.898,7.69386382712e+33
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/6371197269119601414_LC.csv,11336577,995673406.07,995673506.58,6.44340332251e+33
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/6371197269119601456_LC.csv,11336624,995673433.116,995673462.473,7.43589887592e+34
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/6371197269119601881_LC.csv,11390164,992155094.217,992155164.7,5.88781602969e+33
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/6371197269119601957_LC.csv,11390265,992154710.732,992154837.451,5.63811307084e+35
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/6371197278783275020_LC.csv,10453044,992834448.921,992834487.471,6.13282198623e+33
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/6371197278783275020_LC.csv,10453044,992852306.433,992852466.753,1.76861350699e+34
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/6371197278783275020_LC.csv,10453044,992852227.049,992852466.753,2.22530902599e+34
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/6371197278783275061_LC.csv,10453206,992852244.2,992852508.62,1.28753990921e+35
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/6371197278783275068_LC.csv,10453091,992852316.592,992852466.173,1.04421992506e+35
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/6371197278783275092_LC.csv,10453369,933621794.965,933621866.257,9.13341885196e+33
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/6371197278783275095_LC.csv,10453222,992852430.308,992852587.591,1.57459599572e+34
